Identity,near_dist_m.1,near_dist_m.2,near_dist_m.3
237,0.02,1.77,0.22
238,0.02,0.02,0.54
239,0,0.05,0.02
240,0.01,0.11,0.05
241,0,0.44,0.61
242,0.02,0.15,1.2
243,0.01,0.77,0.35
244,0.02,0.1,0.48
245,0,0.38,0.06
246,0.01,0.39,0.07
247,0.01,0.5,0.79
248,0.01,0.1,0.63
249,0,1.49,1.01
250,0,0.17,0.82
251,0.01,0.21,0.11
252,0.02,0.91,0.39
253,0,1.1,0.06
254,0,0.13,0.1
255,0,0.99,0.36
256,0.01,0.57,0.21
257,0,0.46,0.09
258,0,0.07,0.04
259,0.01,0.07,0.98
260,0.01,0.04,0.32
261,0,0.01,0.16
262,0,1.67,0.09
263,0.02,0.05,0.04
264,0.02,0.33,1.33
265,0.01,0.06,0.05
266,0.01,0.09,1.57
267,0,0.35,0.13
268,0,0.1,0.02
269,0.01,0.11,0.16
270,0.01,0.18,0.27
271,0,0.07,1.86
272,0,1.73,0.21
273,0.02,2.78,0.07
274,0,0.05,0.11
275,0,0.06,0.1
276,0,0.32,0.09
277,0.01,0.02,0.4
278,0.02,0.31,1.91
279,0.01,0.43,3.27
280,0,0.36,0.11
281,0,0.94,0.44
282,0.02,0.53,0.04
283,0,0.11,1.69
284,0,0.45,0.87
285,0,0.15,0.3
286,0.01,0.53,0.12
287,0,1.04,0.03
288,0.02,1.4,0.19
289,0.01,0.05,0.04
290,0.01,0.61,0.53
291,0.04,0.17,0.03
292,0.03,0.39,1.84
293,0.01,0.22,0.01
294,0.04,2.3,1.37
295,0.02,1.19,0.47
296,0.01,0.17,0.18
297,0,0.06,0.26
298,0.01,0.1,2.19
299,0,0.03,0.74
300,0.01,0.02,1.46
301,0,0.79,0.72
302,0.04,0.18,1.11
303,0.01,0.58,1.28
304,0.01,0.07,3.59
305,0.01,0.1,1.13
306,0,0.12,1.65
307,0.01,0.42,0.01
308,0.01,0.14,0.3
309,0.01,0.04,1.18
310,0,0.18,0.03
311,0.01,0.03,0.07
312,0.04,1.7,0.28
313,0.01,1.32,0.1
314,0,0.06,0.5
315,0.01,0.04,1.67
316,0.02,0.07,0.05
317,0.02,0.13,0.8
318,0,0.12,0.34
319,0,0.23,0.58
320,0,1.06,0.12
321,0,0.05,0.31
322,0.01,0.57,0.98
323,0.01,0.09,4.13
324,0.01,0.16,0.1
325,0.03,0.28,0.42
326,0.01,0.08,0.29
327,0,0.34,0.1
328,0.01,1.82,0.15
329,0.01,0.23,0.58
330,0,0.46,0.18
331,0.01,0.07,0.09
332,0.03,0.02,0.36
333,0,0.31,1.14
334,0,0.07,0.1
335,0.02,0.06,0.29
336,0.03,0.07,0.07
337,0.02,0.21,0.18
