site,type,bipolar,max_length,max_width,max_thickness,mass
sehonghong,flake,freehand,10.11,8.01,2.62,0.25
sehonghong,core,bipolar,22.81,12.16,9.27,2.24
sehonghong,flake,freehand,10.05,6.24,2.28,0.13
sehonghong,flake,bipolar,13.27,7.21,2.88,0.29
sehonghong,core,freehand,32.07,18.38,15.34,12.2
sehonghong,flake,freehand,11.93,12.31,3.28,0.41
sehonghong,core,freehand,27.29,22,14.66,9.86
sehonghong,core,freehand,27.14,16.23,17.66,6.71
sehonghong,core,freehand,28.96,18.29,12.1,7.29
sehonghong,core,freehand,22.62,13.32,16.45,5.15
sehonghong,core,freehand,23.96,19.46,11.39,5.67
sehonghong,core,freehand,17.95,16.75,26.55,12.91
sehonghong,core,freehand,19.82,21.82,28.65,17.6
sehonghong,core,freehand,17.66,16.81,24,6.88
sehonghong,core,freehand,23.63,28.23,14.71,9.24
sehonghong,core,freehand,22.47,15.85,26.21,12.56
sehonghong,core,freehand,34.77,46.15,35.14,67.27
sehonghong,flake,bipolar,20.65,9.67,4.61,0.5
sehonghong,core,bipolar,29.92,27.67,13.65,14.75
sehonghong,flake,freehand,13.85,7.66,3.42,0.36
sehonghong,core,freehand,26.98,15.33,15.68,6.61
sehonghong,flake,freehand,14.33,11.65,1.72,0.27
sehonghong,flake,freehand,12.86,12.99,2.84,0.68
sehonghong,core,freehand,29.84,17.97,17.94,11.06
sehonghong,core,freehand,NA,NA,NA,NA
sehonghong,flake,freehand,15.51,12,5.47,0.97
sehonghong,flake,freehand,14.13,11.12,6.16,0.78
sehonghong,core,freehand,15.8,18.57,23.25,9.19
sehonghong,core,freehand,21.14,12.52,12.25,5.03
sehonghong,core,freehand,23.6,11.75,12.95,4.89
sehonghong,core,freehand,31.3,26.45,25.02,18.3
sehonghong,core,freehand,18.49,14.63,20.48,8.43
sehonghong,flake,freehand,9.38,4.15,1.98,0.06
sehonghong,core,bipolar,18,10.91,6.5,1.29
sehonghong,flake,bipolar,11.16,2.94,1.26,0.03
sehonghong,core,freehand,25.83,20.19,26.84,17.55
sehonghong,flake,freehand,22.4,8.1,3.29,0.43
sehonghong,core,freehand,41.63,19.9,43.01,20.62
