site,type,bipolar,max_length,max_width,max_thickness,mass
klipfonteinrand,flake,freehand,10.9,6.4,4.1,0.05
klipfonteinrand,flake,bipolar,10.2,9.1,3,0.02
klipfonteinrand,flake,freehand,15.3,10.9,4.6,0.5
klipfonteinrand,flake,freehand,12.1,7.7,1.9,0.05
klipfonteinrand,flake,freehand,12.1,8.5,1.9,0.01
klipfonteinrand,flake,freehand,12.6,10.2,3.9,0.8
klipfonteinrand,flake,freehand,14.5,12.6,4.7,0.7
klipfonteinrand,flake,freehand,12.7,10.6,3.4,0.1
klipfonteinrand,flake,freehand,10.5,7.4,3.2,0.1
klipfonteinrand,flake,freehand,7.7,4.7,1.9,0.05
klipfonteinrand,flake,bipolar,10.1,8,1.9,0.2
klipfonteinrand,flake,freehand,7.9,5,2.2,0.01
klipfonteinrand,flake,freehand,7,4.9,2.2,0.05
klipfonteinrand,flake,freehand,8.5,4,1.4,0.05
klipfonteinrand,flake,freehand,9.9,3.5,2.5,0.1
klipfonteinrand,flake,freehand,6.7,4.5,1.5,0.05
klipfonteinrand,flake,bipolar,7.3,6.4,1.7,0.05
klipfonteinrand,flake,freehand,9.9,4.3,2.6,0.2
klipfonteinrand,flake,freehand,10.5,4.4,2.5,0.2
klipfonteinrand,flake,freehand,10.8,4.9,2.3,0.2
klipfonteinrand,flake,bipolar,10.2,5.6,5.1,0.3
klipfonteinrand,flake,bipolar,9.5,7.2,1.7,0.2
klipfonteinrand,flake,freehand,6.4,5.5,2.1,0.05
klipfonteinrand,flake,freehand,8.3,6.4,4.1,0.3
klipfonteinrand,flake,freehand,9.8,9.1,2.1,0.2
klipfonteinrand,flake,bipolar,10.7,4.6,3.1,0.2
klipfonteinrand,flake,bipolar,11.8,5.5,1.6,0.2
klipfonteinrand,flake,freehand,8,7.2,1.7,0.2
klipfonteinrand,flake,freehand,13,5.8,2.9,0.2
klipfonteinrand,flake,freehand,10.5,8.6,3.1,0.3
klipfonteinrand,flake,freehand,13.6,4.4,2.8,0.1
klipfonteinrand,flake,freehand,11.8,8.1,1.7,0.1
klipfonteinrand,flake,freehand,14.9,7.3,2.2,0.3
klipfonteinrand,flake,freehand,21.3,17,6.8,2.5
klipfonteinrand,flake,freehand,40.2,19.7,8.2,4.4
klipfonteinrand,flake,freehand,41.6,25.1,15.2,14.96
klipfonteinrand,flake,freehand,22.2,16.2,8.8,3.1
klipfonteinrand,flake,freehand,15.2,7.1,2.3,0.15
klipfonteinrand,flake,freehand,8.3,4.9,2.4,0.08
klipfonteinrand,flake,freehand,9.4,5.7,2.2,0.1
klipfonteinrand,flake,freehand,11.1,6.9,2.7,0.17
klipfonteinrand,flake,freehand,6.5,5.6,1.1,0.04
klipfonteinrand,flake,freehand,12.5,5.3,1.7,0.12
klipfonteinrand,flake,freehand,18.6,10.4,2.4,0.34
klipfonteinrand,flake,freehand,9.8,9.7,1.7,0.14
klipfonteinrand,flake,freehand,11.3,6.8,2.1,0.18
klipfonteinrand,flake,freehand,10.6,6.9,2.4,0.17
klipfonteinrand,flake,freehand,7.8,4.7,1.2,0.03
klipfonteinrand,flake,freehand,10.2,6.7,2.2,0.13
klipfonteinrand,flake,freehand,10.2,8,2.6,0.26
klipfonteinrand,flake,freehand,10.5,6.5,3.4,0.19
klipfonteinrand,flake,freehand,9.9,6.4,2.1,0.17
klipfonteinrand,flake,freehand,13.6,7.4,3,0.25
klipfonteinrand,flake,freehand,11.4,9,2.5,0.19
klipfonteinrand,flake,freehand,13.5,9.9,3.5,0.52
klipfonteinrand,flake,freehand,12.6,8.3,3.1,0.35
klipfonteinrand,flake,freehand,11.1,7.3,3.2,0.2
klipfonteinrand,flake,freehand,11.6,7.1,2.1,0.17
klipfonteinrand,flake,freehand,12.9,8.9,3.4,0.27
klipfonteinrand,flake,freehand,17.2,11.3,3.1,0.58
klipfonteinrand,flake,freehand,10,5.5,1.9,0.11
klipfonteinrand,flake,freehand,9.4,8.3,1.9,0.09
klipfonteinrand,flake,freehand,14.1,12,3.8,0.58
klipfonteinrand,flake,freehand,13.3,7.4,2,0.16
klipfonteinrand,flake,freehand,16.4,8.7,3.5,0.52
klipfonteinrand,flake,freehand,16.5,8.9,3,0.47
klipfonteinrand,flake,freehand,18,9.2,3.2,0.4
klipfonteinrand,flake,freehand,20.3,10.2,5.2,0.92
klipfonteinrand,flake,freehand,23.1,7.6,6.6,2.75
klipfonteinrand,flake,freehand,19.3,14.4,5.3,1.3
klipfonteinrand,core,freehand,17.4,14.4,8.7,2.34
klipfonteinrand,flake,freehand,7.1,5,1.5,0.06
klipfonteinrand,flake,freehand,9.2,6,2.6,0.11
klipfonteinrand,flake,freehand,10.1,7.9,2.1,0.11
klipfonteinrand,flake,freehand,7,5.3,0.7,0.01
klipfonteinrand,flake,freehand,16.6,11.2,7.5,1.24
klipfonteinrand,flake,freehand,11.1,9.4,4,0.4
klipfonteinrand,flake,freehand,14.6,7.4,2.8,0.26
klipfonteinrand,flake,freehand,11.4,7.9,3,0.24
klipfonteinrand,flake,freehand,12,9.5,2.2,0.19
klipfonteinrand,flake,freehand,14.6,12.2,4.4,0.67
klipfonteinrand,flake,freehand,16.1,5.7,1.3,0.14
klipfonteinrand,core,freehand,15.2,12.4,9.2,2.83
klipfonteinrand,flake,freehand,12.2,5,1.8,0.08
klipfonteinrand,flake,freehand,10.7,6.7,2.5,0.13
klipfonteinrand,flake,freehand,15.4,5.6,3.5,0.33
klipfonteinrand,flake,freehand,10.4,7.6,1.9,0.15
klipfonteinrand,flake,freehand,9.9,5.6,1.3,0.06
klipfonteinrand,flake,freehand,10,6.9,2.5,0.22
klipfonteinrand,flake,freehand,6.7,6.3,1.8,0.07
klipfonteinrand,flake,freehand,11.8,5.6,1.9,0.11
klipfonteinrand,flake,freehand,16.5,11.7,3.4,0.69
klipfonteinrand,flake,freehand,19.5,8.8,6.7,1.13
klipfonteinrand,flake,freehand,18.6,11.6,4.7,0.76
klipfonteinrand,flake,freehand,39,31.8,7.1,7.95
klipfonteinrand,flake,freehand,19.5,18.3,6.9,1.93
klipfonteinrand,flake,freehand,10.6,10,3.5,0.31
klipfonteinrand,flake,freehand,27.6,14.7,6,2.4
klipfonteinrand,flake,freehand,38.1,32.9,10,11.71
klipfonteinrand,flake,freehand,34.6,20.6,9.5,4.84
klipfonteinrand,flake,freehand,35.5,18.1,3.8,1.85
klipfonteinrand,flake,freehand,19.4,11.5,5.9,1.41
klipfonteinrand,flake,freehand,37.3,30.6,18,26.62
sehonghong,flake,freehand,18.87,28.32,4.84,1.4
sehonghong,flake,freehand,12.26,7.47,1.53,0.13
sehonghong,flake,freehand,9.84,5.71,1.29,0.1
sehonghong,flake,freehand,7.65,3.26,0.82,0.02
sehonghong,flake,freehand,10.28,6.47,1.34,0.05
sehonghong,flake,freehand,7.03,6.14,1.62,0.06
sehonghong,flake,freehand,6.52,9.08,1.99,0.12
sehonghong,flake,freehand,10.79,6.31,0.92,0.06
sehonghong,flake,freehand,10.55,5.7,1.56,0.08
sehonghong,flake,freehand,45.32,19.13,10.21,9.65
sehonghong,flake,freehand,31.19,25.12,6.41,6.01
sehonghong,flake,freehand,17.08,17.75,6.76,1.97
sehonghong,flake,freehand,11.94,11.36,2.53,0.35
sehonghong,flake,freehand,23.89,18.08,3.3,1.3
sehonghong,flake,freehand,10.78,2.62,0.58,0.03
sehonghong,flake,freehand,41.75,23.74,11.53,13.37
sehonghong,flake,freehand,42.82,32.55,14.69,23.58
sehonghong,flake,freehand,24.55,22.12,6.78,4.43
sehonghong,flake,freehand,25.75,8.53,5.16,1.11
klipfonteinrand,flake,freehand,33,9.4,4.2,1.11
klipfonteinrand,flake,bipolar,27.2,20.2,12.9,6.05
klipfonteinrand,core,bipolar,33.7,14.5,11.6,6.35
sehonghong,flake,freehand,25.07,5.08,1.56,0.29
klipfonteinrand,flake,freehand,19.8,10.6,6.3,8
sehonghong,flake,freehand,13.82,4.69,2.33,0.16
sehonghong,flake,freehand,24.92,7.01,4.52,0.56
sehonghong,flake,freehand,18.68,8.02,2.66,0.55
sehonghong,flake,freehand,33.17,16.18,10.23,5.22
klipfonteinrand,flake,freehand,15.9,10.3,2.9,0.47
sehonghong,flake,freehand,31.02,8.87,2.21,0.6
sehonghong,flake,freehand,21.43,12.7,3.66,1.48
klipfonteinrand,flake,bipolar,29.9,11.5,10.6,3.32
sehonghong,flake,freehand,19.36,12.38,3.11,0.7
sehonghong,flake,freehand,19.54,10.74,2.63,0.66
sehonghong,flake,bipolar,29.49,25.58,8,7.02
sehonghong,flake,freehand,21.79,5.25,1.7,0.18
sehonghong,flake,freehand,20.23,5.31,1.59,0.2
sehonghong,flake,freehand,24.64,28.56,11.57,8.41
sehonghong,flake,freehand,30.19,19.57,11.72,7.78
sehonghong,flake,freehand,34.92,7.61,4,1.08
sehonghong,flake,freehand,34.17,17.78,3.72,1.02
sehonghong,flake,freehand,11.47,2.95,1.95,0.05
sehonghong,flake,freehand,29.89,9.1,7.31,1.33
sehonghong,flake,freehand,17.96,18.23,3.29,0.43
klipfonteinrand,flake,freehand,25.9,20.2,6,2.69
sehonghong,flake,freehand,11.31,16.28,3.69,0.38
sehonghong,flake,bipolar,8.13,5.72,2.94,0.12
klipfonteinrand,flake,freehand,42.6,29.5,15.1,15.31
klipfonteinrand,flake,bipolar,34.6,24.8,20.3,14.93
sehonghong,flake,freehand,9.4,6.06,1.03,0.04
sehonghong,flake,freehand,11.83,13.2,2.93,0.46
klipfonteinrand,flake,freehand,26.7,16.6,9.1,3.5
klipfonteinrand,core,freehand,13.4,10.7,9.1,0.97
klipfonteinrand,core,freehand,18.4,17.5,14.8,4.37
sehonghong,flake,freehand,13.16,5.97,1.1,0.08
sehonghong,flake,freehand,14.62,8.25,3.96,0.31
sehonghong,flake,freehand,22.3,13.16,4.18,0.87
sehonghong,flake,bipolar,14.71,11.88,3.95,0.93
sehonghong,flake,freehand,14.63,13.23,4.28,0.97
sehonghong,flake,freehand,12.92,13.21,2.38,0.38
sehonghong,flake,freehand,9.98,5.05,1.54,NA
sehonghong,flake,freehand,40.63,28.65,20.92,26.31
sehonghong,flake,freehand,14.61,9.06,2.29,0.4
sehonghong,flake,freehand,22.07,14.68,5.35,1.85
sehonghong,flake,freehand,18.14,14.89,4.09,1.15
sehonghong,flake,freehand,22.86,22.94,8.01,5.53
sehonghong,flake,freehand,19.76,11.3,4.73,0.9
sehonghong,flake,freehand,14.04,4.31,0.95,0.1
sehonghong,flake,freehand,17.53,4.61,1.99,0.12
klipfonteinrand,flake,freehand,16.5,15.3,7.9,1.9
sehonghong,flake,freehand,28.79,7.58,2.36,0.57
sehonghong,flake,freehand,16.75,6.77,1.09,0.13
sehonghong,flake,freehand,21.7,30.95,7.69,5.59
sehonghong,flake,freehand,8.64,11.97,2.1,0.16
sehonghong,flake,freehand,12.62,7.7,2.19,0.19
sehonghong,flake,freehand,5.1,2.77,0.47,0.02
sehonghong,flake,freehand,27.68,12.61,3.53,1.56
klipfonteinrand,flake,freehand,20.8,11.7,7.6,2.4
sehonghong,flake,freehand,10.12,8.32,1.67,0.18
sehonghong,flake,freehand,27.07,11.64,5.57,1.95
klipfonteinrand,core,freehand,30.9,28.2,18.2,16.7
sehonghong,flake,freehand,16.77,19.66,4.58,1.18
sehonghong,flake,freehand,25.58,11.13,2.65,0.64
sehonghong,flake,freehand,14.25,13.53,14.33,1.09
sehonghong,flake,freehand,21.03,12.68,2.91,0.88
sehonghong,flake,freehand,9.65,4.84,1.04,0.05
sehonghong,flake,freehand,6.3,2.81,0.82,0.02
sehonghong,flake,freehand,7.6,3.24,1.04,0.04
sehonghong,flake,freehand,9.83,7.04,1.22,0.09
sehonghong,flake,freehand,10.01,5.68,1.52,0.06
klipfonteinrand,flake,freehand,29.2,20.8,6.2,3.9
sehonghong,flake,freehand,8.19,3.47,0.92,0.03
sehonghong,flake,freehand,9.2,7.79,1.82,0.14
sehonghong,flake,freehand,6.22,4.23,1.23,0.03
sehonghong,flake,freehand,19.97,4.41,1.26,0.1
sehonghong,flake,freehand,18.98,6.28,1.49,0.15
sehonghong,flake,freehand,31.4,7.58,2.32,0.62
sehonghong,flake,freehand,42.35,15.73,4.22,3.52
sehonghong,flake,freehand,19.15,7.36,2.68,0.28
sehonghong,flake,freehand,12.25,5.39,1.69,0.08
sehonghong,flake,freehand,10.06,3.73,0.71,0.03
sehonghong,flake,freehand,33.74,12.8,3.58,1.12
sehonghong,flake,freehand,21.83,6.55,1.68,0.28
klipfonteinrand,flake,freehand,23.5,14.1,4.7,1.3
sehonghong,flake,freehand,30.6,7.17,2.25,0.49
klipfonteinrand,flake,freehand,30.9,20.7,7.4,3.5
sehonghong,flake,freehand,44.73,9.35,3.74,1.58
klipfonteinrand,flake,freehand,30.2,16.1,9.2,3.1
sehonghong,flake,freehand,20.3,7.11,1.51,0.27
klipfonteinrand,flake,freehand,41,19.9,9,6.5
sehonghong,flake,freehand,16.81,10.49,1.51,0.14
sehonghong,flake,freehand,23.09,5.76,1.86,0.25
klipfonteinrand,flake,freehand,18.2,14.3,7.3,1.3
sehonghong,flake,bipolar,19.59,5.34,3.82,0.36
klipfonteinrand,flake,freehand,16.3,13.1,8.4,1.7
klipfonteinrand,flake,freehand,16.6,9.5,5.1,0.7
klipfonteinrand,flake,freehand,15.3,11.8,6,1.1
sehonghong,flake,freehand,15.92,6.69,4.06,0.46
klipfonteinrand,flake,freehand,18.2,15.2,7.1,1.6
klipfonteinrand,flake,freehand,19,13.5,7.6,1.9
klipfonteinrand,flake,freehand,19.2,11.6,8.8,2.2
sehonghong,flake,freehand,30.89,10.28,3.05,0.99
sehonghong,flake,freehand,23.91,8.34,1.58,0.42
klipfonteinrand,flake,freehand,30.2,19.3,13.4,8.4
sehonghong,flake,freehand,12.89,4.08,1.24,0.08
sehonghong,flake,bipolar,10.64,5,3.22,0.19
sehonghong,flake,bipolar,7.72,5.81,1.57,0.04
sehonghong,flake,freehand,36.54,30.95,8.12,7.79
sehonghong,flake,freehand,40.07,NA,9.44,11.33
klipfonteinrand,flake,freehand,32.1,11.6,6,2.2
klipfonteinrand,flake,freehand,13.8,6.7,2.9,0.23
klipfonteinrand,core,bipolar,9.1,7.9,6.4,0.47
klipfonteinrand,core,freehand,18.3,16,15.8,5.02
klipfonteinrand,core,freehand,27,14.3,10.7,4.63
klipfonteinrand,core,freehand,22.2,19.9,14.8,7.31
klipfonteinrand,core,freehand,40.6,23.9,19.6,19.31
klipfonteinrand,core,freehand,14.1,12.5,8.2,1.38
klipfonteinrand,core,bipolar,14.4,11.3,4.7,0.87
klipfonteinrand,flake,bipolar,7.2,5.8,2.7,0.11
klipfonteinrand,flake,bipolar,8.6,4.9,1.8,0.03
klipfonteinrand,flake,bipolar,16.3,6.3,3.2,0.3
klipfonteinrand,flake,bipolar,16.5,10.6,3.1,0.51
klipfonteinrand,flake,bipolar,17,6.4,2.9,0.22
klipfonteinrand,flake,bipolar,17.8,9.1,5.3,0.7
klipfonteinrand,flake,bipolar,24.4,13.5,7,2.15
klipfonteinrand,flake,bipolar,11.7,11.3,5.1,0.48
klipfonteinrand,flake,bipolar,15,8.3,3.8,0.54
klipfonteinrand,flake,bipolar,16.3,8.1,4.4,0.55
klipfonteinrand,flake,bipolar,15.5,5.2,3.8,0.29
klipfonteinrand,flake,freehand,11.5,7.6,1.9,0.17
klipfonteinrand,flake,freehand,12,6.4,1.6,0.08
klipfonteinrand,flake,freehand,19.8,12.9,2.8,0.49
klipfonteinrand,flake,freehand,10,5.5,2.4,0.12
klipfonteinrand,flake,freehand,12.5,8.4,4.3,0.41
klipfonteinrand,flake,freehand,13.3,5.2,2.1,0.1
klipfonteinrand,flake,freehand,13.8,9.5,2.8,0.3
klipfonteinrand,flake,freehand,16.6,9.6,4.4,0.57
klipfonteinrand,flake,freehand,19.3,16.7,5.6,1.61
klipfonteinrand,flake,freehand,9.2,6.8,2.6,0.16
klipfonteinrand,flake,freehand,6.2,5.3,1.8,0.06
klipfonteinrand,flake,freehand,7.2,6.1,1.5,0.05
klipfonteinrand,flake,freehand,7.5,6,1.8,0.07
klipfonteinrand,flake,freehand,7.6,6.3,2.3,0.11
klipfonteinrand,flake,freehand,7.6,7.2,1.6,0.06
klipfonteinrand,flake,freehand,7.7,6.6,2.1,0.1
klipfonteinrand,flake,freehand,7.9,5.2,0.9,0.04
klipfonteinrand,flake,freehand,8.2,6.7,2.3,0.1
klipfonteinrand,flake,freehand,8.3,6.4,3,0.14
klipfonteinrand,flake,freehand,8.3,7.2,2.2,0.13
klipfonteinrand,flake,freehand,9,5.3,2.8,0.11
klipfonteinrand,flake,freehand,9,7.1,1.2,0.07
klipfonteinrand,flake,freehand,9.2,5.7,3.6,0.17
klipfonteinrand,flake,freehand,9.2,5.8,1.9,0.09
klipfonteinrand,flake,freehand,9.4,5.4,1.5,0.07
klipfonteinrand,flake,freehand,9.8,5.6,1.9,0.11
klipfonteinrand,flake,freehand,9.9,5.9,2.1,0.09
klipfonteinrand,flake,freehand,10.2,6.8,2.6,0.12
klipfonteinrand,flake,freehand,10.2,7.4,2.2,0.14
klipfonteinrand,flake,freehand,10.2,8,3.4,0.25
klipfonteinrand,flake,freehand,10.6,7.3,1.9,0.14
klipfonteinrand,flake,freehand,10.7,6.8,4,0.19
klipfonteinrand,flake,freehand,10.8,6.2,2,0.14
klipfonteinrand,flake,freehand,10.9,5.7,2.4,0.12
klipfonteinrand,flake,freehand,11.1,6.4,2,0.12
klipfonteinrand,flake,freehand,11.2,6.7,2.6,0.2
klipfonteinrand,flake,freehand,11.5,6.8,3.9,0.25
klipfonteinrand,flake,freehand,11.5,8.5,1.9,0.14
klipfonteinrand,flake,freehand,11.7,7.8,3.3,0.32
klipfonteinrand,flake,freehand,12.1,7.1,2.5,0.18
klipfonteinrand,flake,freehand,12.1,9.1,2.4,0.21
klipfonteinrand,flake,freehand,12.7,8,3.9,0.22
klipfonteinrand,flake,freehand,12.8,9.7,3.2,0.3
klipfonteinrand,flake,freehand,13,9.3,2.4,0.28
klipfonteinrand,flake,freehand,13.1,6.5,2.1,0.19
klipfonteinrand,flake,freehand,13.1,11.2,2.9,0.38
klipfonteinrand,flake,freehand,13.2,7.3,2.6,0.21
klipfonteinrand,flake,freehand,13.3,7.6,4.8,0.5
klipfonteinrand,flake,freehand,13.5,10.1,3.9,0.5
klipfonteinrand,flake,freehand,13.8,8.2,3.1,0.34
klipfonteinrand,flake,freehand,14.1,8.3,3,0.32
klipfonteinrand,flake,freehand,14.6,10.8,4.1,0.56
klipfonteinrand,flake,freehand,15.7,7.8,2.4,0.25
klipfonteinrand,flake,freehand,15.7,8.8,2.3,0.25
klipfonteinrand,flake,freehand,19.5,13.3,4.7,0.8
klipfonteinrand,flake,freehand,23.5,14.4,5.3,1.54
klipfonteinrand,flake,freehand,31.4,21.2,7.6,4.58
klipfonteinrand,flake,freehand,8.7,7.5,1.6,0.1
klipfonteinrand,flake,freehand,10.8,7.5,4.5,0.27
klipfonteinrand,flake,freehand,13,10.1,4,0.49
klipfonteinrand,flake,freehand,13.2,5,2.5,0.13
klipfonteinrand,flake,freehand,13.2,9.1,3.1,0.33
klipfonteinrand,flake,freehand,13.7,9.2,3,0.34
klipfonteinrand,flake,freehand,14.3,7.8,4.1,0.43
klipfonteinrand,flake,freehand,14.4,5.6,2.6,0.21
klipfonteinrand,flake,freehand,14.5,13.5,3.1,0.56
klipfonteinrand,flake,freehand,14.7,8.9,5.4,0.64
klipfonteinrand,flake,freehand,14.9,9.8,4.6,0.64
klipfonteinrand,flake,freehand,15.2,9.1,5.1,0.61
klipfonteinrand,flake,freehand,16.7,11.3,4,0.55
klipfonteinrand,flake,freehand,18,9.4,5.2,0.83
klipfonteinrand,flake,freehand,20,10.2,5.7,1.01
klipfonteinrand,flake,freehand,8.6,5.8,1.9,0.08
klipfonteinrand,flake,freehand,8.7,7.6,1.4,0.08
klipfonteinrand,flake,freehand,8.8,6.9,2.6,0.11
klipfonteinrand,flake,freehand,12.2,9.4,5.6,0.73
klipfonteinrand,flake,freehand,13.8,7.9,2.7,0.18
klipfonteinrand,flake,freehand,15.8,7.4,3.1,0.35
klipfonteinrand,flake,freehand,16.9,7.5,4.4,0.6
klipfonteinrand,flake,freehand,21.1,17.3,6.4,1.8
klipfonteinrand,flake,freehand,9.8,7.9,1.7,0.12
klipfonteinrand,flake,freehand,13.8,8.9,2.8,0.32
klipfonteinrand,flake,freehand,18.8,9.2,2.4,0.28
klipfonteinrand,core,bipolar,15.3,10.1,4.7,0.98
klipfonteinrand,core,bipolar,18.4,8.9,5.6,0.85
klipfonteinrand,core,bipolar,19.7,15.7,7,1.74
klipfonteinrand,core,bipolar,13.5,12.1,7.1,1.18
klipfonteinrand,core,bipolar,40.2,27.4,13.8,18.76
klipfonteinrand,core,freehand,19.2,16.5,10.5,2.78
klipfonteinrand,core,freehand,26.6,17.3,13.4,6.62
klipfonteinrand,core,freehand,29.4,21.4,16.4,10.7
klipfonteinrand,core,freehand,37,20.3,19.9,17.33
klipfonteinrand,core,freehand,37.1,25,13.5,12.14
klipfonteinrand,core,freehand,28.5,18.9,15.1,8.57
klipfonteinrand,flake,bipolar,11,6.4,2.3,0.13
klipfonteinrand,flake,bipolar,12,4.5,1.9,0.08
klipfonteinrand,flake,freehand,9.4,8.1,1.4,0.08
klipfonteinrand,flake,freehand,9.9,7.1,1.5,0.09
klipfonteinrand,flake,freehand,10.3,7.8,2.2,0.13
klipfonteinrand,flake,freehand,10.3,9.1,2,0.14
klipfonteinrand,flake,freehand,11.6,8.1,2.6,0.22
klipfonteinrand,flake,freehand,12.8,10,3.9,0.45
klipfonteinrand,flake,freehand,14.9,6.4,3.4,0.23
klipfonteinrand,flake,freehand,15.8,5.7,2.3,0.25
klipfonteinrand,flake,freehand,10.6,9.2,3.5,0.28
klipfonteinrand,flake,freehand,10.9,10.6,3.4,0.3
klipfonteinrand,flake,freehand,12.4,8.2,1.5,0.14
klipfonteinrand,flake,freehand,13.9,6.5,2.1,0.17
klipfonteinrand,flake,freehand,22,13.6,5.5,1.3
klipfonteinrand,flake,freehand,31.6,19.2,7,2.96
klipfonteinrand,flake,freehand,15.3,11.3,3.9,0.62
klipfonteinrand,flake,freehand,14.4,7.2,2.1,0.21
klipfonteinrand,flake,freehand,18.9,4.4,2.4,0.22
klipfonteinrand,core,bipolar,13,8.3,6.8,0.73
klipfonteinrand,flake,bipolar,7.1,2.8,1.2,0.04
klipfonteinrand,flake,bipolar,11.9,6.3,2.7,0.16
klipfonteinrand,flake,bipolar,14.3,8.5,4.7,0.57
klipfonteinrand,flake,bipolar,19.8,14.8,7.5,2.14
klipfonteinrand,flake,bipolar,13.1,9.6,3.9,0.45
klipfonteinrand,flake,freehand,9.2,7.7,2.3,0.12
klipfonteinrand,flake,freehand,9.8,6.4,2.7,0.21
klipfonteinrand,flake,freehand,11,4.1,1.8,0.09
klipfonteinrand,flake,freehand,11.1,6.7,1.5,0.06
klipfonteinrand,flake,freehand,15.2,8.3,3.1,0.41
klipfonteinrand,flake,freehand,15.7,6,2.1,0.18
klipfonteinrand,flake,freehand,11.1,7.6,3,0.24
klipfonteinrand,flake,freehand,18.5,9.2,2.3,0.36
klipfonteinrand,flake,freehand,7.2,5.5,2.3,0.1
klipfonteinrand,flake,freehand,7.6,3.3,1.4,0.02
klipfonteinrand,flake,freehand,7.8,6.2,1.6,0.08
klipfonteinrand,flake,freehand,7.9,6.4,3.3,0.14
klipfonteinrand,flake,freehand,8.2,4.7,2.1,0.07
klipfonteinrand,flake,freehand,8.4,4.9,1.7,0.05
klipfonteinrand,flake,freehand,8.4,6.4,2.2,0.1
klipfonteinrand,flake,freehand,8.5,7.7,4.4,0.24
klipfonteinrand,flake,freehand,8.6,6,1.9,0.09
klipfonteinrand,flake,freehand,8.8,2.9,1.4,0.05
klipfonteinrand,flake,freehand,8.9,4.1,2.2,0.05
klipfonteinrand,flake,freehand,9.1,6.9,2.2,0.13
klipfonteinrand,flake,freehand,9.2,6.3,3.2,0.13
klipfonteinrand,flake,freehand,9.2,7.9,1.8,0.09
klipfonteinrand,flake,freehand,9.3,6.5,4,0.2
klipfonteinrand,flake,freehand,9.4,3,1.3,0.05
klipfonteinrand,flake,freehand,9.4,5.6,2.1,0.1
klipfonteinrand,flake,freehand,9.8,5.9,2.9,0.12
klipfonteinrand,flake,freehand,10.1,6.6,1.9,0.09
klipfonteinrand,flake,freehand,10.1,8.1,1.7,0.11
klipfonteinrand,flake,freehand,10.4,3.9,2.1,0.07
klipfonteinrand,flake,freehand,10.4,7.1,2.7,0.17
klipfonteinrand,flake,freehand,10.6,7.1,1.6,0.1
klipfonteinrand,flake,freehand,11,6,1.5,0.08
klipfonteinrand,flake,freehand,11.4,8.4,1.6,0.12
klipfonteinrand,flake,freehand,11.4,8.4,2.1,0.19
klipfonteinrand,flake,freehand,11.6,6.4,3.6,0.25
klipfonteinrand,flake,freehand,11.8,8.5,2.9,0.28
klipfonteinrand,flake,freehand,12,10.5,2.8,0.29
klipfonteinrand,flake,freehand,12.1,10.8,1.8,0.23
klipfonteinrand,flake,freehand,12.5,8.6,4.8,0.6
klipfonteinrand,flake,freehand,12.9,5.7,2.2,0.13
klipfonteinrand,flake,freehand,13.2,8.8,4.8,0.38
klipfonteinrand,flake,freehand,13.9,5.4,2.2,0.15
klipfonteinrand,flake,freehand,13.9,7.2,3.3,0.23
klipfonteinrand,flake,freehand,14.4,6.5,2,0.19
klipfonteinrand,flake,freehand,14.4,8.9,4,0.41
klipfonteinrand,flake,freehand,14.5,8.9,2.8,0.33
klipfonteinrand,flake,freehand,14.6,7.1,4.8,0.51
klipfonteinrand,flake,freehand,14.7,10.4,4.9,0.69
klipfonteinrand,flake,freehand,15.9,15.4,4,0.73
klipfonteinrand,flake,freehand,17.8,11.3,3.7,0.83
klipfonteinrand,flake,freehand,20.3,13.7,5.4,1.03
klipfonteinrand,flake,freehand,21.3,13,4.6,1.07
klipfonteinrand,flake,freehand,8.3,7.2,1.8,0.09
klipfonteinrand,flake,freehand,9.3,8.5,2.2,0.14
klipfonteinrand,flake,freehand,10,6.1,1.2,0.07
klipfonteinrand,flake,freehand,10.6,7.1,3.3,0.21
klipfonteinrand,flake,freehand,11.1,8.4,2.8,0.2
klipfonteinrand,flake,freehand,11.8,8.2,3.2,0.32
klipfonteinrand,flake,freehand,12.6,7.8,2.2,0.15
klipfonteinrand,flake,freehand,15.4,8.4,4.8,0.45
klipfonteinrand,flake,freehand,15.6,13.6,5.1,1.04
klipfonteinrand,flake,freehand,15.8,11.7,5.7,0.85
klipfonteinrand,flake,freehand,15.8,12.7,6.6,0.89
klipfonteinrand,flake,freehand,19.2,8.1,4.1,0.55
klipfonteinrand,flake,freehand,22.4,6,3.6,0.38
klipfonteinrand,flake,freehand,23.3,11.8,6,1.44
klipfonteinrand,flake,freehand,7.9,8,2.2,0.14
klipfonteinrand,flake,freehand,9.1,5.8,3.6,0.14
klipfonteinrand,flake,freehand,20.1,7.9,3.1,0.54
klipfonteinrand,flake,freehand,15.5,7.8,2.4,0.26
klipfonteinrand,flake,freehand,9.2,8.8,1.8,0.11
klipfonteinrand,flake,freehand,9.9,4.8,1.2,0.05
klipfonteinrand,flake,freehand,10.8,8.4,1.4,0.11
klipfonteinrand,flake,freehand,11,5.2,1.8,0.1
klipfonteinrand,flake,freehand,12,6.4,3.8,0.21
klipfonteinrand,flake,freehand,12.1,9.3,2.1,0.24
klipfonteinrand,flake,freehand,12.2,4.6,1.5,0.09
klipfonteinrand,flake,freehand,13.1,4.3,1.3,0.07
klipfonteinrand,flake,freehand,14.4,5,3,0.22
klipfonteinrand,flake,freehand,14.6,8.6,4.9,0.46
